사용일자,자치구,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,서초구,9호선,신반포,4503,4419,20231110
20231107,강서구,9호선,신방화,7631,7520,20231110
20231107,강남구,3호선,신사,30887,32031,20231110
20231107,동대문구,우이신설선,신설동,2706,2486,20231110
20231107,동대문구,1호선,신설동,15126,14867,20231110
20231107,동대문구,2호선,신설동,3606,3490,20231110
20231107,용산구,4호선,신용산,20465,21633,20231110
20231107,동대문구,경원선,신이문,9248,8579,20231110
20231107,양천구,5호선,신정(은행정),15020,12604,20231110
20231107,양천구,2호선,신정네거리,11527,11970,20231110
20231107,서대문구,2호선,신촌,42259,43074,20231110
20231107,서대문구,경의선,신촌,1205,1572,20231110
20231107,영등포구,7호선,신풍,12438,11733,20231110
20231107,도봉구,4호선,쌍문,31984,30077,20231110
20231107,광진구,5호선,아차산(어린이대공원후문),15965,15430,20231110
20231107,마포구,2호선,아현,12318,11645,20231110
20231107,종로구,3호선,안국,29570,30669,20231110
20231107,성북구,6호선,안암(고대병원앞),16372,16642,20231110
20231107,강동구,8호선,암사,20671,18312,20231110
20231107,강남구,3호선,압구정,34758,37358,20231110
20231107,강남구,분당선,압구정로데오,20235,21891,20231110
20231107,마포구,5호선,애오개,7625,7637,20231110
20231107,중구,3호선,약수,14275,13975,20231110
20231107,중구,6호선,약수,4181,4064,20231110
20231107,중랑구,중앙선,양원,3515,3485,20231110
20231107,강남구,3호선,양재(서초구청),42174,45793,20231110
20231107,양천구,2호선,양천구청,7779,8323,20231110
20231107,강서구,9호선,양천향교,11374,11723,20231110
20231107,영등포구,5호선,양평,8694,8432,20231110
20231107,광진구,7호선,어린이대공원(세종대),19716,20344,20231110
20231107,강남구,9호선2~3단계,언주,13144,13302,20231110
20231107,영등포구,5호선,여의나루,12243,13908,20231110
20231107,영등포구,9호선,여의도,33539,32116,20231110
20231107,영등포구,5호선,여의도,33034,34695,20231110
20231107,강남구,2호선,역삼,61598,69435,20231110
20231107,은평구,6호선,역촌,4216,5179,20231110
20231107,은평구,3호선,연신내,37652,35734,20231110
20231107,은평구,6호선,연신내,1,0,20231110
20231107,강서구,9호선,염창,20032,19526,20231110
20231107,영등포구,경부선,영등포,40303,41509,20231110
20231107,영등포구,2호선,영등포구청,24282,24724,20231110
20231107,영등포구,5호선,영등포구청,5263,5295,20231110
20231107,영등포구,5호선,영등포시장,11878,12164,20231110
20231107,송파구,3호선,오금,7497,6668,20231110
20231107,송파구,5호선,오금,4265,4249,20231110
