사용일자,자치구,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,동작구,7호선,신대방삼거리,16845,16114,20230910
20230907,구로구,2호선,신도림,54318,53153,20230910
20230907,구로구,경부선,신도림,4244,4432,20230910
20230907,관악구,2호선,신림,58757,56065,20230910
20230907,관악구,신림선,신림,1886,2654,20230910
20230907,양천구,9호선,신목동,5033,4473,20230910
20230907,서초구,9호선,신반포,4591,4749,20230910
20230907,강서구,9호선,신방화,7833,7562,20230910
20230907,강남구,3호선,신사,30134,31395,20230910
20230907,동대문구,1호선,신설동,15590,14989,20230910
20230907,동대문구,2호선,신설동,3664,3499,20230910
20230907,동대문구,우이신설선,신설동,2614,2384,20230910
20230907,용산구,4호선,신용산,20603,21896,20230910
20230907,동대문구,경원선,신이문,9282,8639,20230910
20230907,양천구,5호선,신정(은행정),15112,12648,20230910
20230907,양천구,2호선,신정네거리,11492,11762,20230910
20230907,서대문구,2호선,신촌,43283,44316,20230910
20230907,서대문구,경의선,신촌,1215,1593,20230910
20230907,영등포구,7호선,신풍,12541,11727,20230910
20230907,도봉구,4호선,쌍문,31852,29788,20230910
20230907,광진구,5호선,아차산(어린이대공원후문),16267,15433,20230910
20230907,마포구,2호선,아현,12526,11543,20230910
20230907,종로구,3호선,안국,30334,31631,20230910
20230907,성북구,6호선,안암(고대병원앞),16924,17069,20230910
20230907,강동구,8호선,암사,20953,18424,20230910
20230907,강남구,3호선,압구정,34145,37038,20230910
20230907,강남구,분당선,압구정로데오,21244,23415,20230910
20230907,마포구,5호선,애오개,7815,7766,20230910
20230907,중구,3호선,약수,14761,14181,20230910
20230907,중구,6호선,약수,4309,4224,20230910
20230907,중랑구,중앙선,양원,3595,3518,20230910
20230907,강남구,3호선,양재(서초구청),42081,46277,20230910
20230907,양천구,2호선,양천구청,7929,8407,20230910
20230907,강서구,9호선,양천향교,11414,11703,20230910
20230907,영등포구,5호선,양평,8528,8228,20230910
20230907,광진구,7호선,어린이대공원(세종대),20327,20874,20230910
20230907,강남구,9호선2~3단계,언주,13150,13199,20230910
20230907,영등포구,5호선,여의나루,15002,15922,20230910
20230907,영등포구,5호선,여의도,32128,34642,20230910
20230907,영등포구,9호선,여의도,32811,32427,20230910
20230907,강남구,2호선,역삼,59402,67020,20230910
20230907,은평구,6호선,역촌,4386,5112,20230910
20230907,은평구,3호선,연신내,37982,36175,20230910
20230907,은평구,6호선,연신내,0,0,20230910
20230907,강서구,9호선,염창,19809,19113,20230910
20230907,영등포구,경부선,영등포,41350,42039,20230910
20230907,영등포구,2호선,영등포구청,24252,25014,20230910
20230907,영등포구,5호선,영등포구청,5187,5110,20230910
20230907,영등포구,5호선,영등포시장,11720,11985,20230910
20230907,송파구,3호선,오금,7529,6655,20230910
20230907,송파구,5호선,오금,4341,4395,20230910
20230907,구로구,경인선,오류동,13125,12063,20230910
20230907,양천구,5호선,오목교(목동운동장앞),23697,25337,20230910
20230907,성동구,3호선,옥수,10022,10065,20230910
20230907,성동구,경원선,옥수,65,58,20230910
20230907,구로구,7호선,온수(성공회대입구),12192,11115,20230910
20230907,구로구,경인선,온수(성공회대입구),7480,7105,20230910
20230907,송파구,5호선,올림픽공원(한국체대),5328,4593,20230910
20230907,송파구,9호선2~3단계,올림픽공원(한국체대),7939,7907,20230910
20230907,성동구,2호선,왕십리(성동구청),18151,15096,20230910
20230907,성동구,5호선,왕십리(성동구청),4889,5672,20230910
20230907,성동구,경원선,왕십리(성동구청),18332,18361,20230910
20230907,동대문구,경원선,외대앞,11694,11679,20230910
20230907,성동구,2호선,용답,3343,3400,20230910
20230907,동대문구,2호선,용두(동대문구청),2822,2788,20230910
20230907,중랑구,7호선,용마산(용마폭포공원),6627,6562,20230910
20230907,용산구,경부선,용산,38710,39603,20230910
20230907,강서구,5호선,우장산,16826,16528,20230910
20230907,노원구,경원선,월계,8918,8343,20230910
20230907,성북구,6호선,월곡(동덕여대),14876,14321,20230910
20230907,마포구,6호선,월드컵경기장(성산),4788,4953,20230910
20230907,중구,2호선,을지로3가,28050,28096,20230910
20230907,중구,3호선,을지로3가,13247,13501,20230910
20230907,중구,2호선,을지로4가,16270,16366,20230910
20230907,중구,5호선,을지로4가,7510,7693,20230910
20230907,중구,2호선,을지로입구,53822,55683,20230910
20230907,성동구,경원선,응봉,2197,1792,20230910
20230907,은평구,6호선,응암,19868,19530,20230910
20230907,마포구,2호선,이대,20230,22050,20230910
20230907,동작구,7호선,이수,17695,17201,20230910
20230907,용산구,4호선,이촌(국립중앙박물관),9977,10839,20230910
20230907,용산구,경원선,이촌(국립중앙박물관),4659,3613,20230910
20230907,용산구,6호선,이태원,11816,12599,20230910
20230907,강남구,3호선,일원,12937,12571,20230910
20230907,송파구,2호선,잠실(송파구청),79499,80417,20230910
20230907,송파구,8호선,잠실(송파구청),16150,19093,20230910
20230907,송파구,2호선,잠실나루,17511,16964,20230910
20230907,송파구,2호선,잠실새내,25977,25632,20230910
20230907,서초구,3호선,잠원,5924,5604,20230910
20230907,동작구,7호선,장승배기,10392,10159,20230910
20230907,송파구,8호선,장지,18825,17243,20230910
20230907,동대문구,5호선,장한평,21254,21074,20230910
20230907,성북구,우이신설선,정릉,5459,5038,20230910
20230907,동대문구,1호선,제기동,19103,19422,20230910
20230907,종로구,1호선,종각,44732,44556,20230910
20230907,종로구,1호선,종로3가,28877,26109,20230910
20230907,종로구,3호선,종로3가,12394,14131,20230910
20230907,종로구,5호선,종로3가,15477,15187,20230910
20230907,종로구,1호선,종로5가,27258,26939,20230910
20230907,송파구,2호선,종합운동장,20756,23577,20230910
20230907,송파구,9호선2~3단계,종합운동장,5209,5438,20230910
20230907,노원구,7호선,중계,16986,15547,20230910
20230907,광진구,7호선,중곡,12464,11723,20230910
20230907,중랑구,중앙선,중랑,6428,6149,20230910
20230907,강동구,9호선2~3단계,중앙보훈병원,14082,12445,20230910
20230907,중랑구,7호선,중화,11871,11683,20230910
20230907,강서구,9호선,증미,9188,8878,20230910
20230907,은평구,6호선,증산(명지대앞),10963,10897,20230910
20230907,도봉구,4호선,창동,27841,29644,20230910
20230907,도봉구,경원선,창동,0,0,20230910
20230907,종로구,6호선,창신,4258,3710,20230910
20230907,구로구,7호선,천왕,13109,12479,20230910
20230907,강동구,5호선,천호(풍납토성),20109,20088,20230910
20230907,강동구,8호선,천호(풍납토성),15987,18337,20230910
20230907,중구,5호선,청구,4389,4190,20230910
